# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct 11 05:55:42 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_name asc, disc_year asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,disc_year,disc_facility,pl_orbsmax,pl_bmassj,st_mass,sy_dist
HD 15906 b,HD 15906,2023,Transiting Exoplanet Survey Satellite (TESS),0.090000,0.01780,0.79,45.5621000
HD 15906 c,HD 15906,2023,Transiting Exoplanet Survey Satellite (TESS),0.141000,0.02800,0.79,45.5621000
HD 159243 b,HD 159243,2013,Haute-Provence Observatory,0.110000,1.13000,1.12,73.3055000
HD 159243 c,HD 159243,2013,Haute-Provence Observatory,0.800000,1.90000,1.12,73.3055000
HD 159868 b,HD 159868,2006,Anglo-Australian Telescope,2.320000,2.21800,1.19,55.8503000
HD 159868 c,HD 159868,2012,Anglo-Australian Telescope,1.032000,0.76800,1.19,55.8503000
HD 1605 b,HD 1605,2015,Multiple Observatories,1.492000,0.93400,1.33,88.8047000
HD 1605 c,HD 1605,2015,Multiple Observatories,3.584000,3.62000,1.33,88.8047000
HD 160691 b,HD 160691,2000,Anglo-Australian Telescope,1.500000,4.30000,1.13,15.5981000
HD 160691 c,HD 160691,2004,Anglo-Australian Telescope,4.170000,4.40000,1.13,15.5981000
HD 160691 d,HD 160691,2004,La Silla Observatory,0.092860,0.03200,1.13,15.5981000
HD 160691 e,HD 160691,2006,La Silla Observatory,0.934000,7.00000,1.13,15.5981000
HD 161178 b,HD 161178,2021,Okayama Astrophysical Observatory,0.850000,0.57000,1.06,107.1880000
HD 16141 b,HD 16141,2000,W. M. Keck Observatory,0.360000,0.26000,1.11,37.7861000
HD 16175 b,HD 16175,2009,Lick Observatory,2.120000,5.90000,1.63,59.8590000
HD 162020 b,HD 162020,2002,La Silla Observatory,0.080000,9.84000,0.42,30.8248000
HD 163607 b,HD 163607,2010,W. M. Keck Observatory,0.362000,0.78360,1.12,67.7855000
HD 163607 c,HD 163607,2010,W. M. Keck Observatory,2.390000,2.20100,1.12,67.7855000
HD 16417 b,HD 16417,2008,Anglo-Australian Telescope,0.140000,0.06960,1.20,25.3936000
HD 164509 b,HD 164509,2010,W. M. Keck Observatory,0.870000,0.44300,1.12,53.1119000
HD 164595 b,HD 164595,2015,Haute-Provence Observatory,0.230000,0.05078,0.99,28.2540000
HD 164604 b,HD 164604,2009,Las Campanas Observatory,1.331000,14.30000,0.77,39.3633000
HD 164922 b,HD 164922,2005,W. M. Keck Observatory,2.160000,0.36497,0.93,22.0016000
HD 164922 c,HD 164922,2016,Multiple Observatories,0.341000,0.04090,0.93,22.0016000
HD 164922 d,HD 164922,2020,Roque de los Muchachos Observatory,0.103000,0.01259,0.93,22.0016000
HD 164922 e,HD 164922,2021,Multiple Observatories,0.229200,0.03310,0.92,22.0016000
HD 165131 b,HD 165131,2023,Multiple Facilities,3.540000,18.70000,1.06,57.4263000
HD 165155 b,HD 165155,2016,Multiple Observatories,1.130000,2.89000,1.02,63.3574000
HD 1666 b,HD 1666,2015,Multiple Observatories,0.940000,6.43000,1.50,117.9080000
HD 166724 b,HD 166724,2012,La Silla Observatory,5.420000,3.80000,0.81,45.1342000
HD 167042 b,HD 167042,2007,Lick Observatory,1.220000,1.39700,1.39,49.6633000
HD 167677 b,HD 167677,2023,Multiple Facilities,2.877000,2.85000,0.96,54.3258000
HD 167768 b,HD 167768,2022,Okayama Astrophysical Observatory,0.151200,0.85000,1.08,107.2140000
HD 168009 b,HD 168009,2021,Multiple Observatories,0.119200,0.03000,0.99,23.3032000
HD 168443 b,HD 168443,1998,W. M. Keck Observatory,0.292000,7.62800,0.98,39.6245000
HD 168443 c,HD 168443,2000,W. M. Keck Observatory,2.842000,17.30600,0.98,39.6245000
HD 168746 b,HD 168746,2002,La Silla Observatory,0.070000,0.27000,1.07,41.5681000
HD 168863 b,HD 168863,2022,Multiple Observatories,10.961000,6.78000,0.80,39.8979000
HD 1690 b,HD 1690,2010,La Silla Observatory,1.360000,8.79000,1.86,752.6150000
HD 16905 b,HD 16905,2022,Multiple Observatories,8.800000,11.30000,0.85,39.7401000
HD 169142 b,HD 169142,2023,Paranal Observatory,37.200000,3.00000,1.85,113.6000000
HD 169830 b,HD 169830,2000,La Silla Observatory,0.765000,2.53100,1.17,37.6048000
HD 169830 c,HD 169830,2003,La Silla Observatory,3.075000,7.66900,1.17,37.6048000
HD 170469 b,HD 170469,2007,W. M. Keck Observatory,2.240000,0.66000,1.10,60.1780000
HD 17092 b,HD 17092,2007,McDonald Observatory,1.310000,10.13000,6.73,228.4220000
HD 171028 b,HD 171028,2007,La Silla Observatory,1.320000,2.62000,1.53,111.6590000
HD 171238 b,HD 171238,2009,La Silla Observatory,2.570000,8.80000,0.96,44.8113000
HD 17156 b,HD 17156,2007,Subaru Telescope,0.162780,3.51000,1.41,78.0863000
HD 173416 b,HD 173416,2008,Xinglong Station,1.158000,1.84100,2.00,132.1840000
HD 174205 b,HD 174205,2022,Bohyunsan Optical Astronomical Observatory,1.700000,4.20000,1.80,234.0270000
HD 175167 b,HD 175167,2009,Las Campanas Observatory,2.400000,14.80000,1.09,71.0863000
HD 175541 b,HD 175541,2007,W. M. Keck Observatory,0.975000,0.59800,1.39,129.6030000
HD 175607 b,HD 175607,2015,La Silla Observatory,,0.02825,0.71,40.3303000
HD 17674 b,HD 17674,2017,Haute-Provence Observatory,1.420000,0.87000,0.98,44.4264000
HD 176986 b,HD 176986,2017,Multiple Observatories,0.062960,0.01806,0.79,27.7843000
HD 176986 c,HD 176986,2017,Multiple Observatories,0.118780,0.02888,0.79,27.7843000
HD 177565 b,HD 177565,2017,La Silla Observatory,0.246000,0.04751,1.00,16.9179000
HD 177830 b,HD 177830,1999,W. M. Keck Observatory,1.140000,1.69000,1.70,62.7674000
HD 177830 c,HD 177830,2010,W. M. Keck Observatory,0.513700,0.15000,1.47,62.7674000
HD 178911 B b,HD 178911 B,2001,W. M. Keck Observatory,0.340000,8.03000,1.24,40.9727000
HD 179079 b,HD 179079,2008,W. M. Keck Observatory,0.121400,0.08100,1.14,69.7116000
HD 179949 b,HD 179949,2000,Anglo-Australian Telescope,0.044300,0.91600,1.21,27.4573000
HD 180053 b,HD 180053,2018,W. M. Keck Observatory,0.843000,2.19400,1.75,137.0430000
HD 18015 b,HD 18015,2018,W. M. Keck Observatory,3.870000,3.30000,1.49,123.8010000
HD 180314 b,HD 180314,2010,Subaru Telescope,1.448000,22.70700,2.60,122.3620000
HD 180617 b,HD 180617,2018,Calar Alto Observatory,0.343000,0.03843,0.48,5.9105900
HD 180902 b,HD 180902,2009,W. M. Keck Observatory,1.400000,1.68500,1.41,104.5770000
HD 181234 b,HD 181234,2019,La Silla Observatory,7.427000,9.37900,0.94,47.7458000
HD 181342 b,HD 181342,2009,W. M. Keck Observatory,1.592000,2.54000,1.69,120.3910000
HD 18143 b,HD 18143,2022,Multiple Observatories,0.088000,0.03400,0.85,22.5243000
HD 18143 c,HD 18143,2022,Multiple Observatories,17.530000,9.99800,0.85,22.5243000
HD 181433 b,HD 181433,2008,La Silla Observatory,0.080000,0.02000,0.63,26.8762000
HD 181433 c,HD 181433,2008,La Silla Observatory,1.760000,0.64000,0.78,26.8762000
HD 181433 d,HD 181433,2008,La Silla Observatory,3.000000,0.54000,0.78,26.8762000
HD 181720 b,HD 181720,2009,La Silla Observatory,1.850000,0.40000,1.03,60.2046000
HD 183263 b,HD 183263,2004,W. M. Keck Observatory,1.460000,3.47100,1.06,54.1955000
HD 183263 c,HD 183263,2008,W. M. Keck Observatory,5.585000,9.31000,1.06,54.1955000
HD 183579 b,HD 183579,2021,Transiting Exoplanet Survey Satellite (TESS),0.132200,0.06419,1.00,57.2651000
HD 184010 b,HD 184010,2022,Okayama Astrophysical Observatory,0.940000,0.31000,1.35,60.7993000
HD 184010 c,HD 184010,2022,Okayama Astrophysical Observatory,1.334000,0.30000,1.35,60.7993000
HD 184010 d,HD 184010,2022,Okayama Astrophysical Observatory,1.920000,0.45000,1.35,60.7993000
HD 18438 b,HD 18438,2023,Bohyunsan Optical Astronomical Observatory,2.100000,21.00000,1.84,224.1460000
HD 185269 b,HD 185269,2006,Lick Observatory,0.077000,1.01000,1.30,51.9917000
HD 185283 b,HD 185283,2023,La Silla Observatory,4.600000,1.30000,0.80,31.3950000
HD 18599 b,HD 18599,2022,Transiting Exoplanet Survey Satellite (TESS),0.048000,0.07583,0.86,38.5653000
HD 187085 b,HD 187085,2006,Anglo-Australian Telescope,2.100000,0.83600,1.19,45.8993000
HD 187123 b,HD 187123,1998,W. M. Keck Observatory,0.042600,0.52300,1.04,45.9548000
HD 187123 c,HD 187123,2008,W. M. Keck Observatory,4.890000,1.99000,1.04,45.9548000
HD 18742 b,HD 18742,2011,W. M. Keck Observatory,1.820000,3.40000,1.36,162.6850000
HD 188015 b,HD 188015,2004,W. M. Keck Observatory,1.203000,1.50000,1.09,50.6706000
HD 188641 b,HD 188641,2022,Multiple Observatories,12.027000,29.36500,1.07,64.3399000
HD 189567 b,HD 189567,2021,La Silla Observatory,0.111000,0.02674,0.83,17.9055000
HD 189567 c,HD 189567,2021,La Silla Observatory,0.197000,0.02202,0.83,17.9055000
HD 189733 b,HD 189733,2005,Haute-Provence Observatory,0.031260,1.13000,0.79,19.7638000
HD 190007 b,HD 190007,2020,Multiple Observatories,0.092000,0.04877,0.77,12.7141000
HD 190228 b,HD 190228,2022,Multiple Observatories,2.406000,5.03000,1.42,62.7146000
HD 190360 b,HD 190360,2003,Haute-Provence Observatory,3.900000,1.80000,1.00,16.0069000
HD 190360 c,HD 190360,2005,W. M. Keck Observatory,0.130400,0.06000,0.98,16.0069000
HD 190647 b,HD 190647,2007,La Silla Observatory,2.231000,1.98500,1.07,54.4738000
HD 190984 b,HD 190984,2009,La Silla Observatory,5.500000,3.58000,0.91,148.1870000
HD 191806 b,HD 191806,2016,Haute-Provence Observatory,2.749000,9.33400,1.07,65.6668000
HD 191939 b,HD 191939,2020,Transiting Exoplanet Survey Satellite (TESS),0.080400,0.03146,0.81,53.6089000
HD 191939 c,HD 191939,2020,Transiting Exoplanet Survey Satellite (TESS),0.175200,0.02517,0.81,53.6089000
HD 191939 d,HD 191939,2020,Transiting Exoplanet Survey Satellite (TESS),0.213200,0.00881,0.81,53.6089000
HD 191939 e,HD 191939,2022,W. M. Keck Observatory,0.407000,0.35302,0.81,53.6089000
HD 191939 f,HD 191939,2022,W. M. Keck Observatory,3.200000,2.07659,0.81,53.6089000
HD 191939 g,HD 191939,2022,Multiple Observatories,0.812000,0.04248,0.81,53.6089000
HD 192263 b,HD 192263,1999,La Silla Observatory,0.150000,0.56000,0.66,19.6359000
HD 192310 b,HD 192310,2011,La Silla Observatory,0.320000,0.05320,0.80,8.7968700
HD 192310 c,HD 192310,2011,La Silla Observatory,1.180000,0.07600,0.80,8.7968700
HD 192699 b,HD 192699,2007,Lick Observatory,1.063000,2.09600,1.38,71.8627000
HD 194490 b,HD 194490,2022,Multiple Observatories,11.116000,11.20700,1.06,80.2349000
HD 195019 b,HD 195019,1998,Lick Observatory,0.140000,3.98000,1.21,37.6681000
HD 196050 b,HD 196050,2002,Anglo-Australian Telescope,2.650000,4.70000,1.27,50.6742000
HD 196067 b,HD 196067,2012,La Silla Observatory,5.020000,12.50000,1.29,39.9346000
HD 19615 b,HD 19615,2022,Bohyunsan Optical Astronomical Observatory,1.100000,8.50000,1.10,265.1550000
HD 196885 A b,HD 196885 A,2007,Haute-Provence Observatory,2.370000,2.58000,1.28,34.1692000
HD 197037 b,HD 197037,2012,McDonald Observatory,2.070000,0.79000,1.11,33.1944000
HD 199509 b,HD 199509,2022,Multiple Observatories,0.426000,0.13600,1.04,24.3056000
HD 19994 b,HD 19994,2003,La Silla Observatory,1.305000,1.37000,1.36,22.5242000
HD 20003 b,HD 20003,2019,La Silla Observatory,0.097400,0.03670,0.88,41.8316000
HD 20003 c,HD 20003,2019,La Silla Observatory,0.196400,0.04540,0.88,41.8316000
HD 200964 b,HD 200964,2010,Lick Observatory,1.565000,1.59900,1.39,72.5922000
HD 200964 c,HD 200964,2010,Lick Observatory,1.960000,1.21400,1.39,72.5922000
HD 202206 c,HD 202206,2004,La Silla Observatory,2.410000,17.90000,1.07,45.9665000
HD 202696 b,HD 202696,2019,W. M. Keck Observatory,1.566000,1.99600,1.91,188.5460000
HD 202696 c,HD 202696,2019,W. M. Keck Observatory,2.342000,1.86400,1.91,188.5460000
HD 202772 A b,HD 202772 A,2019,Transiting Exoplanet Survey Satellite (TESS),0.052080,1.01700,1.72,161.4980000
HD 203030 b,HD 203030,2006,Palomar Observatory,487.100000,11.00000,0.94,39.2503000
HD 20329 b,HD 20329,2022,Transiting Exoplanet Survey Satellite (TESS),0.018000,0.02335,0.90,63.6796000
HD 203387 b,HD 203387,2022,Multiple Observatories,1.771000,3.48000,2.82,61.7477000
HD 203387 c,HD 203387,2022,Multiple Observatories,5.067000,7.48500,2.82,61.7477000
HD 2039 b,HD 2039,2002,Anglo-Australian Telescope,2.200000,6.29000,1.23,85.6922000
HD 204313 b,HD 204313,2010,La Silla Observatory,3.185000,4.61500,1.03,47.7945000
HD 204313 c,HD 204313,2015,La Silla Observatory,0.211000,0.05400,1.03,47.7945000
HD 204313 e,HD 204313,2022,Multiple Observatories,7.457000,15.31700,1.03,47.7945000
HD 204941 b,HD 204941,2011,La Silla Observatory,2.550000,0.23000,0.58,28.7165000
HD 205158 b,HD 205158,2022,Multiple Observatories,0.177000,0.39200,1.16,86.6159000
HD 205739 b,HD 205739,2008,Las Campanas Observatory,0.896000,1.37000,1.22,92.5087000
HD 206255 b,HD 206255,2019,Las Campanas Observatory,0.461000,0.10760,1.42,75.2363000
HD 206610 b,HD 206610,2009,W. M. Keck Observatory,1.740000,2.03600,1.55,147.1920000
HD 206893 b,HD 206893,2021,Gemini Observatory,9.600000,28.00000,1.32,40.7583000
HD 206893 c,HD 206893,2022,European Southern Observatory,3.530000,12.70000,1.32,40.7583000
HD 207496 b,HD 207496,2023,Transiting Exoplanet Survey Satellite (TESS),0.062900,0.01919,0.80,23.6060000
HD 20781 b,HD 20781,2019,La Silla Observatory,0.052900,0.00610,0.70,35.9715000
HD 20781 c,HD 20781,2019,La Silla Observatory,0.100400,0.01680,0.70,35.9715000
HD 20781 d,HD 20781,2019,La Silla Observatory,0.164700,0.03340,0.70,35.9715000
HD 20781 e,HD 20781,2019,La Silla Observatory,0.337400,0.04420,0.70,35.9715000
HD 20782 b,HD 20782,2006,Anglo-Australian Telescope,1.364900,1.48780,1.04,35.9864000
HD 207832 b,HD 207832,2012,W. M. Keck Observatory,0.586000,0.56000,1.05,58.9291000
HD 207832 c,HD 207832,2012,W. M. Keck Observatory,2.112000,0.73000,0.94,58.9291000
HD 207897 b,HD 207897,2021,Transiting Exoplanet Survey Satellite (TESS),0.117000,0.04657,0.82,28.2938000
HD 20794 b,HD 20794,2011,La Silla Observatory,0.120700,0.00850,0.70,6.0027800
HD 20794 c,HD 20794,2011,La Silla Observatory,0.203600,0.00760,0.70,6.0027800
HD 20794 d,HD 20794,2011,La Silla Observatory,0.349900,0.01500,0.70,6.0027800
HD 20794 e,HD 20794,2017,La Silla Observatory,0.509000,0.01501,0.81,6.0027800
HD 208487 b,HD 208487,2004,Anglo-Australian Telescope,0.524000,0.52000,1.13,45.1470000
HD 208527 b,HD 208527,2012,Bohyunsan Optical Astronomical Observatory,2.100000,9.90000,1.60,312.2020000
HD 20868 b,HD 20868,2008,La Silla Observatory,0.950000,1.25000,0.39,47.7223000
HD 208897 b,HD 208897,2017,Multiple Observatories,1.063000,1.19400,1.25,67.4872000
HD 209458 b,HD 209458,1999,W. M. Keck Observatory,0.047070,0.73000,1.23,48.3016000
HD 210193 b,HD 210193,2019,Las Campanas Observatory,1.487000,0.48170,1.04,42.2029000
HD 210277 b,HD 210277,1998,W. M. Keck Observatory,1.130000,1.29000,1.01,21.2985000
HD 210702 b,HD 210702,2007,Lick Observatory,1.079000,1.51500,1.33,54.1963000
HD 211403 b,HD 211403,2021,Haute-Provence Observatory,0.768000,5.54000,1.20,83.0919000
HD 211810 b,HD 211810,2018,W. M. Keck Observatory,2.656000,0.67000,1.03,64.6353000
HD 211970 b,HD 211970,2019,Las Campanas Observatory,0.143000,0.04090,0.61,13.1277000
HD 212301 b,HD 212301,2005,La Silla Observatory,0.030000,0.51000,1.55,54.2304000
HD 212771 b,HD 212771,2009,W. M. Keck Observatory,1.190000,2.39000,1.56,111.1550000
HD 213240 b,HD 213240,2001,La Silla Observatory,1.890000,5.21000,1.57,40.8707000
HD 213472 b,HD 213472,2021,Multiple Observatories,13.000000,3.50000,1.05,64.4527000
HD 213519 b,HD 213519,2022,Multiple Observatories,0.099000,0.02900,1.05,41.0014000
HD 213885 b,HD 213885,2019,Transiting Exoplanet Survey Satellite (TESS),0.020120,0.02778,1.07,48.0883000
HD 213885 c,HD 213885,2019,Multiple Observatories,0.056798,0.06277,1.07,48.0883000
HD 21411 b,HD 21411,2019,Las Campanas Observatory,0.362000,0.20734,0.89,29.1328000
HD 214823 b,HD 214823,2016,Haute-Provence Observatory,3.080000,18.61000,1.11,101.3680000
HD 215152 b,HD 215152,2018,La Silla Observatory,0.057638,0.00572,0.77,21.5974000
HD 215152 c,HD 215152,2018,La Silla Observatory,0.067393,0.00541,0.77,21.5974000
HD 215152 d,HD 215152,2018,La Silla Observatory,0.087990,0.00881,0.77,21.5974000
HD 215152 e,HD 215152,2018,La Silla Observatory,0.154170,0.00905,0.77,21.5974000
HD 21520 b,HD 21520,2024,Transiting Exoplanet Survey Satellite (TESS),0.172600,0.05569,1.09,79.2080000
HD 215497 b,HD 215497,2009,La Silla Observatory,0.050000,0.02000,0.67,40.5468000
HD 215497 c,HD 215497,2009,La Silla Observatory,1.310000,0.35000,0.92,40.5468000
HD 216435 b,HD 216435,2002,Anglo-Australian Telescope,2.560000,1.26000,1.30,32.9834000
HD 216437 b,HD 216437,2002,Anglo-Australian Telescope,2.570000,4.20000,1.22,26.6902000
HD 216520 b,HD 216520,2020,Multiple Observatories,0.198000,0.03228,0.82,19.5520000
HD 216520 c,HD 216520,2020,Multiple Observatories,0.528000,0.02970,0.82,19.5520000
HD 216536 b,HD 216536,2015,McDonald Observatory,0.610000,1.05000,0.81,376.2330000
HD 216770 b,HD 216770,2003,La Silla Observatory,0.460000,0.57000,0.74,36.6625000
HD 21693 b,HD 21693,2019,La Silla Observatory,0.145500,0.02590,0.80,33.2550000
HD 21693 c,HD 21693,2019,La Silla Observatory,0.258600,0.05470,0.80,33.2550000
HD 217107 b,HD 217107,1998,Lick Observatory,0.080000,1.30000,1.00,20.0619000
HD 217107 c,HD 217107,2005,Lick Observatory,5.320000,2.60000,0.98,20.0619000
HD 21749 c,GJ 143,2019,Transiting Exoplanet Survey Satellite (TESS),0.069500,0.01164,0.73,16.3200000
HD 217786 b,HD 217786,2011,La Silla Observatory,2.446000,13.85200,1.14,55.4847000
HD 217786 c,HD 217786,2022,Multiple Observatories,0.038000,0.02300,1.14,55.4847000
HD 217958 b,HD 217958,2022,Multiple Observatories,3.758000,0.52400,1.08,61.7957000
HD 218566 b,HD 218566,2010,W. M. Keck Observatory,0.690000,0.20000,0.76,28.8274000
HD 219077 b,HD 219077,2012,La Silla Observatory,5.935000,9.62000,0.92,29.1864000
HD 219134 b,HD 219134,2015,Roque de los Muchachos Observatory,0.038760,0.01491,0.81,6.5312700
HD 219134 c,HD 219134,2015,Roque de los Muchachos Observatory,0.065300,0.01372,0.81,6.5312700
HD 219134 d,HD 219134,2015,Roque de los Muchachos Observatory,0.237000,0.05088,0.81,6.5312700
HD 219134 f,HD 219134,2015,Multiple Observatories,0.146300,0.02297,0.81,6.5312700
HD 219134 g,HD 219134,2015,Multiple Observatories,0.375300,0.03400,0.79,6.5312700
HD 219134 h,HD 219134,2015,Roque de los Muchachos Observatory,3.110000,0.34000,0.79,6.5312700
HD 219139 b,HD 219139,2021,Okayama Astrophysical Observatory,0.940000,0.78000,1.46,104.9350000
HD 219415 b,HD 219415,2012,McDonald Observatory,3.200000,1.00000,1.00,165.1840000
HD 219666 b,HD 219666,2018,Transiting Exoplanet Survey Satellite (TESS),0.104000,0.05223,0.92,94.1719000
HD 219828 b,HD 219828,2007,La Silla Observatory,0.049000,0.06000,1.04,73.1140000
HD 219828 c,HD 219828,2016,Multiple Facilities,5.657000,16.05400,1.04,73.1140000
HD 220074 b,HD 220074,2012,Bohyunsan Optical Astronomical Observatory,1.600000,16.64000,2.20,324.5400000
HD 220197 b,HD 220197,2018,Roque de los Muchachos Observatory,2.729000,0.20000,0.91,64.4110000
HD 220689 b,HD 220689,2012,La Silla Observatory,3.396000,1.20000,1.02,46.8778000
HD 220773 b,HD 220773,2011,McDonald Observatory,4.940000,1.45000,1.16,50.5103000
HD 220842 b,HD 220842,2016,Haute-Provence Observatory,0.740000,3.18000,1.13,64.6498000
HD 221287 b,HD 221287,2007,La Silla Observatory,1.250000,3.09000,1.25,55.9231000
HD 221416 b,HD 221416,2019,Transiting Exoplanet Survey Satellite (TESS),0.122800,0.19000,1.21,95.5483000
HD 221420 b,HD 221420,2019,Anglo-Australian Telescope,10.100000,22.00000,1.34,31.1415000
HD 221585 b,HD 221585,2016,Haute-Provence Observatory,2.306000,1.61000,1.19,55.8535000
HD 222076 b,HD 222076,2016,Multiple Observatories,1.830000,1.56000,1.07,91.1538000
HD 222155 b,HD 222155,2011,Haute-Provence Observatory,5.140000,1.83000,1.21,50.6078000
HD 222237 b,HD 222237,2024,Multiple Observatories,10.800000,5.19000,0.76,11.4469000
HD 222582 b,HD 222582,1999,W. M. Keck Observatory,1.340000,8.37000,1.12,42.1586000
HD 224538 b,HD 224538,2016,Multiple Observatories,2.375000,6.53100,1.23,79.0608000
HD 224693 b,HD 224693,2006,W. M. Keck Observatory,0.191000,0.70000,1.31,93.5015000
HD 22496 b,HD 22496,2021,Paranal Observatory,0.051000,0.01753,0.68,13.5956000
HD 22532 b,HD 22532,2022,La Silla Observatory,1.900000,2.12000,1.57,161.1830000
HD 22781 b,HD 22781,2011,Haute-Provence Observatory,1.167000,13.65000,0.75,32.6034000
HD 22946 d,HD 22946,2023,Transiting Exoplanet Survey Satellite (TESS),0.295800,0.08360,1.10,62.7792000
HD 23079 b,HD 23079,2001,Anglo-Australian Telescope,1.600000,2.61000,1.12,33.4591000
HD 23127 b,HD 23127,2006,Anglo-Australian Telescope,2.370000,1.52700,1.21,93.8555000
HD 231701 b,HD 231701,2007,W. M. Keck Observatory,0.567000,1.13000,1.21,108.8770000
HD 233604 b,HD 233604,2013,McDonald Observatory,0.747000,6.57500,1.50,847.0580000
HD 233832 b,HD 233832,2018,Roque de los Muchachos Observatory,2.827000,1.78000,0.71,58.7420000
HD 23472 b,HD 23472,2019,Transiting Exoplanet Survey Satellite (TESS),0.116200,0.02618,0.67,39.0341000
HD 23472 c,HD 23472,2019,Transiting Exoplanet Survey Satellite (TESS),0.164600,0.01073,0.67,39.0341000
HD 23472 d,HD 23472,2022,Transiting Exoplanet Survey Satellite (TESS),0.042980,0.00173,0.67,39.0341000
HD 23472 e,HD 23472,2022,Transiting Exoplanet Survey Satellite (TESS),0.068000,0.00227,0.67,39.0341000
HD 23472 f,HD 23472,2022,Transiting Exoplanet Survey Satellite (TESS),0.090600,0.00242,0.67,39.0341000
HD 235088 b,HD 235088,2023,Transiting Exoplanet Survey Satellite (TESS),0.071000,0.01321,0.85,41.1706000
HD 23596 b,HD 23596,2003,Haute-Provence Observatory,2.694000,11.91400,1.10,52.0018000
HD 238090 b,HD 238090,2020,Multiple Observatories,0.093200,0.02168,0.58,15.2354000
HD 238914 b,HD 238914,2018,Multiple Observatories,5.700000,6.00000,1.47,519.4520000
HD 240210 b,HD 240210,2009,McDonald Observatory,1.160000,5.21000,0.82,372.4050000
HD 240237 b,HD 240237,2011,McDonald Observatory,1.920000,15.89000,8.76,933.3770000
HD 24040 b,HD 24040,2006,W. M. Keck Observatory,4.920000,3.86000,1.11,46.6224000
HD 24040 c,HD 24040,2021,Multiple Observatories,1.300000,0.20100,1.10,46.6224000
HD 24064 b,HD 24064,2015,Bohyunsan Optical Astronomical Observatory,1.290000,12.89000,1.61,300.2470000
HD 24085 b,HD 24085,2019,Las Campanas Observatory,0.034000,0.03713,1.22,54.9004000
HD 25015 b,HD 25015,2019,La Silla Observatory,6.248000,9.07700,0.86,37.4330000
HD 25171 b,HD 25171,2010,La Silla Observatory,2.971000,0.91500,1.08,55.6146000
HD 25463 b,HD 25463,2023,Transiting Exoplanet Survey Satellite (TESS),0.076000,0.02737,1.25,45.6181000
HD 25463 c,HD 25463,2023,Transiting Exoplanet Survey Satellite (TESS),0.044300,0.01353,1.25,45.6181000
HD 25723 b,HD 25723,2020,Lick Observatory,1.490000,2.50000,2.12,114.8160000
HD 25912 b,HD 25912,2022,Multiple Observatories,0.242000,0.12000,1.08,49.1661000
HD 25912 c,HD 25912,2022,Multiple Observatories,17.848000,16.52700,1.08,49.1661000
HD 260655 b,HD 260655,2022,Transiting Exoplanet Survey Satellite (TESS),0.029330,0.00673,0.44,10.0055000
HD 260655 c,HD 260655,2022,Transiting Exoplanet Survey Satellite (TESS),0.047490,0.00972,0.44,10.0055000
HD 26161 b,HD 26161,2021,Multiple Observatories,10.087000,28.46000,1.12,40.9128000
HD 2638 b,HD 2638,2005,La Silla Observatory,0.040000,0.42000,0.77,54.9621000
HD 2685 b,HD 2685,2019,Transiting Exoplanet Survey Satellite (TESS),0.056800,1.17000,1.43,196.8520000
HD 27442 b,HD 27442,2000,Anglo-Australian Telescope,1.271000,1.56000,1.23,18.2704000
HD 27631 b,HD 27631,2012,La Silla Observatory,3.242000,1.56000,0.94,50.2862000
HD 27894 b,HD 27894,2005,La Silla Observatory,0.125000,0.61900,0.81,43.8214000
HD 27894 c,HD 27894,2017,La Silla Observatory,0.198000,0.16200,0.80,43.8214000
HD 27894 d,HD 27894,2017,La Silla Observatory,5.362000,6.49300,0.81,43.8214000
HD 27969 b,HD 27969,2021,Haute-Provence Observatory,1.552000,4.80000,1.16,67.9328000
HD 28109 b,HD 28109,2022,Transiting Exoplanet Survey Satellite (TESS),0.135700,0.05819,1.26,139.6110000
HD 28109 c,HD 28109,2022,Transiting Exoplanet Survey Satellite (TESS),0.308000,0.02499,1.26,139.6110000
HD 28109 d,HD 28109,2022,Transiting Exoplanet Survey Satellite (TESS),0.411000,0.01787,1.26,139.6110000
HD 28185 b,HD 28185,2001,La Silla Observatory,1.035000,5.83700,0.99,39.3809000
HD 28185 c,HD 28185,2022,Multiple Observatories,13.176000,19.63900,0.99,39.3809000
HD 28192 b,HD 28192,2022,Multiple Observatories,0.118000,0.31400,1.08,49.8063000
HD 28254 b,HD 28254,2010,La Silla Observatory,2.450000,3.80000,1.10,55.2884000
HD 284149 AB b,HD 284149 A,2017,Paranal Observatory,431.160000,26.28000,1.13,117.8070000
HD 285507 b,HD 285507,2013,Fred Lawrence Whipple Observatory,0.060000,0.98000,0.82,45.0293000
HD 285968 b,HD 285968,2008,La Silla Observatory,0.066000,0.02600,0.50,9.4704500
HD 28678 b,HD 28678,2011,W. M. Keck Observatory,1.180000,1.54200,1.53,189.9080000
HD 29021 b,HD 29021,2017,Haute-Provence Observatory,2.280000,4.47000,0.85,30.9939000
